No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Note
306,Wednesday,19-11-25,35745,36,MOKHTAR ELSHENAWY,PLATE LOAD,15-11-25,,,,Fill,MARINA C,BH-9,23.25,1,,,APPROVED AS NOTED,DONE,5,CEL,4,
307,Wednesday,19-11-25,35747,36,MOKHTAR ELSHENAWY,PLATE LOAD,17-11-25,,,,Fill,MARINA C,BH-8,24.25,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,
308,Wednesday,19-11-25,35734,36,NEESR EL-ARABY,PLATE LOAD,15-11-25,,,,Fill,MARINA C,B-18,23.3,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,
309,Wednesday,19-11-25,35727,36,U-MARK,PLATE LOAD,17-11-25,,,,Fill,MARINA C,B-12,22.8,1,,,APPROVED AS NOTED,DONE,5,CEL,2,
310,Wednesday,19-11-25,35726,36,U-MARK,PLATE LOAD,16-11-25,,,,Fill,MARINA C,BH-1-2-3-4,23,1,,,APPROVED AS NOTED,DONE,5,CEL,3,
311,Wednesday,19-11-25,35728,36,U-MARK,PLATE LOAD,17-11-25,,,,Fill,MARINA C,B-12,22.8,1,,,REVISE,DONE,5,CEL,2,
312,Wednesday,19-11-25,35729,36,U-MARK,PLATE LOAD,17-11-25,,,,Fill,MARINA C,B-12,22.8,1,,,APPROVED AS NOTED,DONE,5,CEL,2,
313,Wednesday,19-11-25,35730,36,El-BATAL,PLATE LOAD,17-11-25,,,,Fill,MARINA C,B-15,22.3,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,
314,Wednesday,19-11-25,35731,36,El-BATAL,PLATE LOAD,17-11-25,,,,Fill,MARINA C,B-15,22.3,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,
315,Wednesday,26-11-25,35901,36,NEESR EL-ARABY,PLATE LOAD,22-11-25,,,,Fill,MARINA C,B-17,26.78,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,
316,Wednesday,26-11-25,35902,36,NEESR EL-ARABY,PLATE LOAD,22-11-25,,,,Fill,MARINA C,B-18,25.8,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,
317,Wednesday,26-11-25,35903,36,El-BATAL,PLATE LOAD,22-11-25,,,,Fill,MARINA C,B-15,25.8,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,
318,Wednesday,26-11-25,35907,36,El-BATAL,PLATE LOAD,21-11-25,,,,Fill,MARINA C,BH-7,23.5,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,5,
319,Wednesday,26-11-25,35908,36,SAAD SHETA,PLATE LOAD,24-11-25,,,,Fill,MARINA C,B-20,24.85,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,
320,Wednesday,26-11-25,35909,36,SAAD SHETA,PLATE LOAD,24-11-25,,,,Fill,MARINA C,B-20,24.85,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,
321,Wednesday,26-11-25,35910,36,SAAD SHETA,PLATE LOAD,24-11-25,,,,Fill,MARINA C,B-20,24.85,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,
