No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
248,Wednesday,26-08-26,64209,36, EL Gharably ,DPL,23-08-26,,,51.24,Fill,C-A,BH-12-1,M 114,LAYER-2,4,,2068,APPROVED AS NOTED,DONE,2,EIDG,3,,,
249,Tuesday,25-08-26,64153,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,45.07,Fill,C-A,BH-8-3,M 67,LAYER-2,3,,1807,APPROVED AS NOTED,DONE,2,EIDG,3,,,
250,Wednesday,26-08-26,64213,36, Mokhtar EL-Shenawy ,DPL,23-08-26,,,47.808,Fill,C-A,BH-8-3,M 67,LAYER-3,4,,1780,APPROVED AS NOTED,DONE,2,EIDG,3,,,
251,Tuesday,25-08-26,64156,36, EL Gharably ,SOIL,22-08-26,A-4,49.40%,,Bottom of excavation,C-A,BH-12-1,M 112,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
252,Tuesday,25-08-26,64144,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,42.56,Fill,C-A,BH-9-1,M 73,LAYER-1,2,,995,APPROVED AS NOTED,DONE,2,EIDG,3,,,
253,Wednesday,26-08-26,64144,36, Mokhtar EL-Shenawy ,DPL,23-08-26,,,45.07,Fill,C-A,BH-9-1,M 73-77,LAYER-2,3,,1226,APPROVED AS NOTED,DONE,2,EIDG,3,,,
254,Tuesday,25-08-26,64154,36, EL Nessr El Araby ,SOIL,22-08-26,A-2-4,21.40%,,Bottom of excavation,C-A,BH-13-4,M 142,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
255,Tuesday,25-08-26,64158,36, Al Thanaa ,DPL,22-08-26,,,54,Fill,C-A,BH-11-2,M 105,LAYER-23,2,,680,APPROVED AS NOTED,DONE,2,EIDG,3,,,
256,Tuesday,25-08-26,64132,36, Al Omraniya ,SOIL,22-08-26,A-2-4,29.00%,,Bottom of excavation,C-A,BH-14-3,M 141,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
257,Tuesday,25-08-26,64132,36, Al Omraniya ,DPL,22-08-26,,,53.13,Bottom of excavation,C-A,BH-14-3,M 141,LAYER-0,3,,1451,APPROVED AS NOTED,DONE,2,EIDG,3,,,
258,Tuesday,25-08-26,64131,36, Al Omraniya ,SOIL,22-08-26,A-2-4,28.20%,,Bottom of excavation,C-A,BH-14-3,M 142,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
259,Tuesday,25-08-26,64131,36, Al Omraniya ,DPL,22-08-26,,,44.86,Bottom of excavation,C-A,BH-14-3,M 142,LAYER-0,3,,1288,APPROVED AS NOTED,DONE,2,EIDG,3,,,
260,Tuesday,25-08-26,64130,36, Abnaa Khalifa ,DPL,22-08-26,,,51.64,Fill,C-A,BH-13-5,M 135,LAYER-2,5,,2449,APPROVED AS NOTED,DONE,2,EIDG,3,,,
261,Tuesday,25-08-26,64129,36, Cleopatra ,DPL,22-08-26,,,48.94,Fill,C-A,BH-12-3,M 197,LAYER-3,2,,880,APPROVED AS NOTED,DONE,2,EIDG,3,,,
262,Wednesday,26-08-26,64186,36, Al Qahira ,SOIL,23-08-26,A-4,57.40%,,Bottom of excavation,C-A,BH-14-1,M 184,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
263,Wednesday,26-08-26,64187,36, Al Anoud Al Arabia ,DPL,23-08-26,,,52.63,Fill,C-A,BH-15-5,M 150-151,LAYER-2,4,,1536,APPROVED AS NOTED,DONE,2,EIDG,3,,,
264,Tuesday,25-08-26,64123,36, Beraiem ,DPL,23-08-26,,,51.88,Fill,C-A,BH-13-2,M 118,LAYER-1,3,,1216,APPROVED AS NOTED,DONE,2,EIDG,2,,,
265,Tuesday,25-08-26,64126,36, Abnaa Khalifa ,DPL,22-08-26,,,48.86,Fill,C-A,BH-13-5,M 138,LAYER-2,4,,2048,APPROVED AS NOTED,DONE,2,EIDG,3,,,
266,Wednesday,26-08-26,64189,36, Mohamed Oraby ,DPL,23-08-26,,,50.27,Fill,C-A,BH-14-4,M 138,LAYER-2,2,,221,APPROVED AS NOTED,DONE,2,EIDG,3,,,
267,Wednesday,26-08-26,64188,36, Mohamed Oraby ,SOIL,23-08-26,A-2-4,20.00%,,Bottom of excavation,C-A,BH-14-4,M 146,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
268,Wednesday,26-08-26,64188,36, Mohamed Oraby ,DPL,23-08-26,,,48.25,Bottom of excavation,C-A,BH-14-4,M 146,LAYER-0,4,,1642,APPROVED AS NOTED,DONE,2,EIDG,3,,,
269,Wednesday,26-08-26,64268,36, Cleopatra ,PLATE LOAD,25-08-26,,,,Fill,C-A,BH-12-3,M 197-198,41.35,1,,1506,APPROVED AS NOTED,DONE,5,CEL,1,,,
270,Wednesday,26-08-26,64190,36, Cleopatra ,DPL,23-08-26,,,51.74,Fill,C-A,BH-12-3,M 197,LAYER-4,3,,1160,APPROVED AS NOTED,DONE,2,EIDG,3,,,
271,Wednesday,26-08-26,64191,36, Cleopatra ,DPL,23-08-26,,,50.667,Fill,C-A,BH-12-3,M 195,LAYER-1,3,,1085,APPROVED AS NOTED,DONE,2,EIDG,3,,,
272,Wednesday,26-08-26,64197,36, Al Qahira ,SOIL,23-08-26,A-2-4,32.40%,,Bottom of excavation,C-A,BH-14-1,M 124,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
273,Wednesday,26-08-26,64197,36, Al Qahira ,DPL,23-08-26,,,48.13,Bottom of excavation,C-A,BH-14-1,M 124,LAYER-0,5,,2236,APPROVED AS NOTED,DONE,2,EIDG,3,,,
274,Wednesday,26-08-26,64195,36, Mokhtar EL-Shenawy ,DPL,23-08-26,,,48.89,Fill,C-A,BH-9-1,M 79-84,LAYER-2,5,,2240,APPROVED AS NOTED,DONE,2,EIDG,3,,,
275,Wednesday,26-08-26,64196,36, Mokhtar EL-Shenawy ,DPL,23-08-26,,,47,Fill,C-A,BH-8-3,M 75,LAYER-1,2,,306,APPROVED AS NOTED,DONE,2,EIDG,3,,,
276,Wednesday,26-08-26,64194,36, Mokhtar EL-Shenawy ,DPL,23-08-26,,,47.23,Fill,C-A,BH-9-1,M 75,LAYER-1,4,,1930,APPROVED AS NOTED,DONE,2,EIDG,3,,,
277,Wednesday,26-08-26,64261,36, Orascom ,PLATE LOAD,23-08-26,,,,Fill,C-A,BH-1,M 64,27,1,,,APPROVED AS NOTED,DONE,6,CEDC,3,,,
278,Wednesday,26-08-26,64170,36, Orascom ,DPL,23-08-26,,,45.64,Fill,C-A,BH-1,M 64,LAYER-6,2,,484,APPROVED AS NOTED,DONE,2,EIDG,3,,,
279,Wednesday,26-08-26,64185,36, Orascom ,DPL,23-08-26,,,52.21,Fill,C-A,BH-1,M 41,LAYER-9,3,,1135,APPROVED AS NOTED,DONE,2,EIDG,3,,,
280,Wednesday,26-08-26,64267,36, Orascom ,PLATE LOAD,25-08-26,,,,Fill,C-A,BH-1,M 41,29.4,1,,1110,APPROVED AS NOTED,DONE,5,CEL,1,,,
281,Tuesday,25-08-26,64124,36, Beraiem ,DPL,22-08-26,,,46.31,Fill,C-A,BH-13-2,M 115,LAYER-1,3,,1174,APPROVED AS NOTED,DONE,2,EIDG,3,,,
282,Wednesday,26-08-26,64269,36, Orascom ,PLATE LOAD,25-08-26,,,,Fill,C-A,BH-1,M 45,29.4,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
283,Wednesday,26-08-26,64184,36, Orascom ,DPL,23-08-26,,,53.14,Fill,C-A,BH-1,M 45,LAYER-9,2,,1099,APPROVED AS NOTED,DONE,2,EIDG,3,,,
284,Tuesday,25-08-26,64127,36, Al Alamiya ,DPL,22-08-26,,,48.7,Fill,C-A,BH-14-5,M 143-144,LAYER-3,9,,4436,APPROVED AS NOTED,DONE,2,EIDG,3,,,
285,Tuesday,25-08-26,64160,36, Abnaa Khalifa ,DPL,22-08-26,,,49.66,Fill,C-A,BH-13-5,M 132-133,LAYER-2,9,,4328,APPROVED AS NOTED,DONE,2,EIDG,3,,,
286,Tuesday,25-08-26,64128,36, Al Alamiya ,SOIL,22-08-26,A-2-4,30.00%,,Bottom of excavation,C-A,BH-14-5,M 150,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
287,Tuesday,25-08-26,64128,36, Al Alamiya ,DPL,22-08-26,,,51.4,Bottom of excavation,C-A,BH-14-5,M 150,LAYER-0,2,,645,APPROVED AS NOTED,DONE,2,EIDG,3,,,
288,Tuesday,25-08-26,64135,36, Al Anoud Al Arabia ,DPL,22-08-26,,,45.14,Fill,C-A,BH-15-5,M 152,LAYER-1,2,,183,APPROVED AS NOTED,DONE,2,EIDG,3,,,
289,Tuesday,25-08-26,64134,36, Al Anoud Al Arabia ,DPL,22-08-26,,,55.62,Fill,C-A,BH-15-5,M 160,LAYER-1,2,,78,APPROVED AS NOTED,DONE,2,EIDG,3,,,
290,Tuesday,25-08-26,64133,36, Al Anoud Al Arabia ,DPL,22-08-26,,,48.26,Fill,C-A,BH-15-5,M 161,LAYER-1,2,,177,APPROVED AS NOTED,DONE,2,EIDG,3,,,
291,Tuesday,25-08-26,64136,36, Cleopatra ,DPL,22-08-26,,,50.73,Fill,C-A,BH-12-3,M 197,LAYER-4,3,,1412,APPROVED AS NOTED,DONE,2,EIDG,3,,,
292,Tuesday,25-08-26,64151,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,44.65,Fill,C-A,BH-8-3,M 76,LAYER-2,3,,1685,APPROVED AS NOTED,DONE,2,EIDG,3,,,
293,Tuesday,25-08-26,64150,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,48.08,Fill,C-A,BH-9-1,M 76,LAYER-2,2,,807,APPROVED AS NOTED,DONE,2,EIDG,3,,,
294,Tuesday,25-08-26,64148,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,50.63,Fill,C-A,BH-9-1,M 85,LAYER-2,2,,992,APPROVED AS NOTED,DONE,2,EIDG,3,,,
295,Tuesday,25-08-26,64139,36, Orascom ,DPL,22-08-26,,,49.67,Fill,C-A,BH-1,M 55,LAYER-8,3,,1136,APPROVED AS NOTED,DONE,2,EIDG,3,,,
296,Tuesday,25-08-26,64141,36, EL Nessr El Araby ,DPL,22-08-26,,,47.58,Fill,C-A,BH-13-4,M 191-194-195,LAYER-7,4,,4054,APPROVED AS NOTED,DONE,2,EIDG,3,,,
297,Tuesday,25-08-26,64143,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,52.11,Fill,C-A,BH-9-1,M 78,LAYER-1,3,,1277,APPROVED AS NOTED,DONE,2,EIDG,3,,,
298,Tuesday,25-08-26,64145,36, Orascom ,DPL,22-08-26,,,52.452,Fill,C-A,BH-1,M 58,LAYER-7,3,,1152,APPROVED AS NOTED,DONE,2,EIDG,3,,,
299,Tuesday,25-08-26,64147,36, Karim Salam ,SOIL,22-08-26,A-2-4,32.00%,,Bottom of excavation,C-A,BH-15-1,M 157,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
300,Tuesday,25-08-26,64147,36, Karim Salam ,DPL,22-08-26,,,41.87,Bottom of excavation,C-A,BH-15-1,M 157,LAYER-0,2,,293,APPROVED AS NOTED,DONE,2,EIDG,3,,,
301,Tuesday,25-08-26,64146,36, Karim Salam ,SOIL,22-08-26,A-2-4,33.00%,,Bottom of excavation,C-A,BH-15-1,M 157,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
302,Tuesday,25-08-26,64146,36, Karim Salam ,DPL,22-08-26,,,51.99,Bottom of excavation,C-A,BH-15-1,M 157,LAYER-0,2,,324,APPROVED AS NOTED,DONE,2,EIDG,3,,,
303,Tuesday,25-08-26,64152,36, EL Nessr El Araby ,SOIL,22-08-26,A-2-4,22.00%,,Bottom of excavation,C-A,BH-13-4,M 188,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
304,Tuesday,25-08-26,64149,36, Mokhtar EL-Shenawy ,DPL,22-08-26,,,44.55,Fill,C-A,BH-9-1,M 80,LAYER-2,5,,2371,APPROVED AS NOTED,DONE,2,EIDG,3,,,
305,Monday,24-08-26,64050,36, Al Alamiya ,DPL,19-08-26,,,52.46,Fill,C-A,BH-14-5,M 143-144,LAYER-2,8,,4378,APPROVED AS NOTED,DONE,2,EIDG,5,,,
306,Monday,24-08-26,64049,36, Al Alamiya ,DPL,19-08-26,,,49.89,Fill,C-A,BH-14-5,M 138,LAYER-5,3,,1467,APPROVED AS NOTED,DONE,2,EIDG,5,,,
307,Monday,24-08-26,64089,36, Al Alamiya ,PLATE LOAD,21-08-26,,,,Fill,C-A,BH-14-5,M 138,46.1,1,,1467,REVISE,DONE,5,CEL,3,,,
308,Monday,24-08-26,63992,36, Elhorya ,DPL,20-08-26,,,51.58,Fill,C-A,BH-10-4,M 89,LAYER-1,2,,21,APPROVED AS NOTED,DONE,2,EIDG,4,,,
309,Monday,24-08-26,63993,36, Elhorya ,DPL,20-08-26,,,50.15,Fill,C-A,BH-10-4,M 94,LAYER-1,4,,2045,APPROVED AS NOTED,DONE,2,EIDG,4,,,
310,Monday,24-08-26,63974,36, Elhorya ,DPL,20-08-26,,,47.2,Fill,C-A,BH-10-4,M 100,LAYER-1,3,,1431,APPROVED AS NOTED,DONE,2,EIDG,4,,,
311,Monday,24-08-26,64052,36, Elhorya ,SOIL,19-08-26,A-4,63.80%,,Bottom of excavation,C-A,BH-10-4,M 92,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,,,
312,Monday,24-08-26,64106,36, EL Nessr El Araby ,DPL,19-08-26,,,42.42,Fill,C-A,BH-13-4,M 195,LAYER-6,2,,345,APPROVED AS NOTED,DONE,2,EIDG,5,,,
313,Monday,24-08-26,63973,36, Elhorya ,DPL,20-08-26,,,49.64,Fill,C-A,BH-10-4,M 95,LAYER-1,2,,911,APPROVED AS NOTED,DONE,2,EIDG,4,,,
314,Monday,24-08-26,64035,36, Elhorya ,DPL,21-08-26,,,51.44,Fill,C-A,BH-10-4,M 88,LAYER-1,2,,803,APPROVED AS NOTED,DONE,2,EIDG,3,,,
315,Monday,24-08-26,64053,36, Elhorya ,SOIL,19-08-26,A-4,60.00%,,Bottom of excavation,C-A,BH-10-4,M 89,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,,,
316,Monday,24-08-26,64051,36, Elhorya ,SOIL,19-08-26,A-4,61.00%,,Bottom of excavation,C-A,BH-10-4,M 88,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,,,
317,Monday,24-08-26,64034,36, Elhorya ,DPL,21-08-26,,,47.93,Fill,C-A,BH-10-4,M 93,LAYER-1,3,,1351,APPROVED AS NOTED,DONE,2,EIDG,3,,,
318,Monday,24-08-26,63997,36, EL Gharably ,SOIL,20-08-26,A-2-4,34.00%,,Bottom of excavation,C-A,BH-12-1,M 106,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,,,
319,Monday,24-08-26,63997,36, EL Gharably ,DPL,20-08-26,,,47.9,Bottom of excavation,C-A,BH-12-1,M 106,,3,,1427,APPROVED AS NOTED,DONE,2,EIDG,4,,,
320,Monday,24-08-26,64025,36, EL Gharably ,DPL,21-08-26,,,52.75,Fill,C-A,BH-12-1,M 114,LAYER-1,3,,1684,APPROVED AS NOTED,DONE,2,EIDG,3,,,
321,Monday,24-08-26,64096,36, Abnaa Mohamed Badawy ,DPL,20-08-26,,,53.5,Fill,C-A,BH-8-2,M 64,LAYER-4,3,,1006,APPROVED AS NOTED,DONE,2,EIDG,4,,,
322,Monday,24-08-26,63988,36, Abnaa Khalifa ,DPL,20-08-26,,,50.7,Fill,C-A,BH-13-5,M 133,LAYER-2,5,,2318,APPROVED AS NOTED,DONE,2,EIDG,4,,,
323,Monday,24-08-26,64048,36, Abnaa Khalifa ,DPL,19-08-26,,,48.84,Fill,C-A,BH-13-5,M 132,LAYER-1,4,,1953,APPROVED AS NOTED,DONE,2,EIDG,5,,,
324,Monday,24-08-26,64058,36, Al Amal ,SOIL,19-08-26,A-2-4,34.00%,,Bottom of excavation,C-A,BH-11-1,M 105,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,,,
325,Monday,24-08-26,64061,36, Al Qahira ,SOIL,19-08-26,A-4,48.80%,,Bottom of excavation,C-A,BH-14-1,M 129,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,5,,,
326,Monday,24-08-26,64060,36, Saad Sheita ,DPL,19-08-26,,,48.3,Fill,C-A,BH-8-3,M 70,LAYER-1,2,,92,APPROVED AS NOTED,DONE,2,EIDG,5,,,
327,Monday,24-08-26,64024,36, Orascom ,DPL,21-08-26,,,48.49,Fill,C-A,BH-1,M 45,LAYER-8,3,,1124,APPROVED AS NOTED,DONE,2,EIDG,3,,,
328,Monday,24-08-26,64023,36, Orascom ,DPL,21-08-26,,,47.65,Fill,C-A,BH-1,M 64,LAYER-4,2,,520,APPROVED AS NOTED,DONE,2,EIDG,3,,,
329,Monday,24-08-26,63970,36, Orascom ,DPL,20-08-26,,,48,Fill,C-A,BH-1,M 64,LAYER-2,2,,562,APPROVED AS NOTED,DONE,2,EIDG,4,,,
330,Monday,24-08-26,64039,36, Orascom ,DPL,21-08-26,,,49.77,Fill,C-A,BH-1,M 41,LAYER-8,3,,1160,APPROVED AS NOTED,DONE,2,EIDG,3,,,
331,Monday,24-08-26,64094,36, Orascom ,PLATE LOAD,22-08-26,,,,Fill,C-A,BH-1,M 49,28.8,1,,1127,APPROVED AS NOTED,DONE,5,CEL,2,,,
332,Monday,24-08-26,64104,36, Al Anoud Al Arabia ,DPL,20-08-26,,,49.13,Fill,C-A,BH-15-5,M 151,LAYER-1,2,,749,APPROVED AS NOTED,DONE,2,EIDG,4,,,
333,Monday,24-08-26,63998,36, Al Anoud Al Arabia ,DPL,20-08-26,,,47.355,Fill,C-A,BH-15-5,M 150,LAYER-1,2,,675,APPROVED AS NOTED,DONE,2,EIDG,4,,,
