No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
347,Monday,24-08-26,64099,36, EL Nessr El Araby ,SOIL,20-08-26,A-4,39.00%,,Bottom of excavation,C-A,BH-13-4,M 137,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,,,,
348,Monday,24-08-26,63984,36, Al Omraniya ,SOIL,20-08-26,A-4,47.00%,,Bottom of excavation,C-A,BH-14-3,M 142,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,,,
349,Monday,24-08-26,64080,36, EL Nessr El Araby ,PLATE LOAD,20-08-26,,,,Fill,C-A,BH-13-4,M 195,42.45,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,
350,Tuesday,01-09-26,64622,36, Al Anoud Al Arabia ,DPL,30-08-26,,,50.4,Fill,C-A,BH-15-5,M 161,LAYER-3,5,,2292,APPROVED AS NOTED,DONE,2,EIDG,2,,,
351,Tuesday,01-09-26,64616,36, Al Anoud Al Arabia ,DPL,30-08-26,,,49.112,Fill,C-A,BH-15-5,M 159,LAYER-3,6,,2769,APPROVED AS NOTED,DONE,2,EIDG,2,,,
352,Sunday,30-08-26,64527,36, Al Anoud Al Arabia ,DPL,27-08-26,,,46.64,Fill,C-A,BH-15-5,M 150,LAYER-4,4,,1813,APPROVED AS NOTED,DONE,2,EIDG,3,,,
353,Tuesday,01-09-26,64672,36, Al Anoud Al Arabia ,DPL,31-08-26,,,48.77,Fill,C-A,BH-15-5,M 150-151-152,LAYER-5,4,,1834,APPROVED AS NOTED,DONE,2,EIDG,1,,,
354,Tuesday,01-09-26,64705,36, Al Anoud Al Arabia ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-15-5,M 150-151-152,49.6,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
355,Tuesday,01-09-26,64703,36, Al Anoud Al Arabia ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-15-5,M 150-151-152,49.6,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
356,Tuesday,01-09-26,64620,36, Al Anoud Al Arabia ,DPL,30-08-26,,,46.996,Fill,C-A,BH-15-5,M 160,LAYER-3,4,,1833,APPROVED AS NOTED,DONE,2,EIDG,2,,,
357,Tuesday,01-09-26,64614,36, Al Anoud Al Arabia ,DPL,30-08-26,,,48.882,Fill,C-A,BH-15-5,M 158,LAYER-2,3,,1561,APPROVED AS NOTED,DONE,2,EIDG,2,,,
358,Tuesday,01-09-26,64626,36, Elhorya ,DPL,30-08-26,,,46.59,Fill,C-A,BH-10-4,M 88,LAYER-3,2,,918,APPROVED AS NOTED,DONE,2,EIDG,2,,,
359,Tuesday,01-09-26,64625,36, Elhorya ,DPL,30-08-26,,,51.363,Fill,C-A,BH-10-4,M 87,LAYER-1,4,,1882,APPROVED AS NOTED,DONE,2,EIDG,2,,,
360,Tuesday,01-09-26,64733,36, Elhorya ,DPL,31-08-26,,,48.55,Fill,C-A,BH-10-4,M 89-94-95-100,LAYER-4,9,,4463,APPROVED AS NOTED,DONE,2,EIDG,1,,,
361,Tuesday,01-09-26,64623,36, Elhorya ,DPL,30-08-26,,,45.91,Fill,C-A,BH-10-4,M 86,LAYER-1,3,,1192,APPROVED AS NOTED,DONE,2,EIDG,2,,,
362,Tuesday,01-09-26,64627,36, Elhorya ,DPL,30-08-26,,,48.065,Fill,C-A,BH-10-4,M 81,LAYER-1,2,,99,APPROVED AS NOTED,DONE,2,EIDG,2,,,
363,Tuesday,01-09-26,64631,36, Fayek Office ,DPL,30-08-26,,,50.26,Fill,C-A,BH-10-1,M 95,LAYER-3,3,,1507,APPROVED AS NOTED,DONE,2,EIDG,2,,,
364,Tuesday,01-09-26,64652,36, Fayek Office ,DPL,31-08-26,,,48.78,Fill,C-A,BH-10-1,M 95,LAYER-4,3,,1507,APPROVED AS NOTED,DONE,2,EIDG,1,,,
365,Tuesday,01-09-26,64653,36, Fayek Office ,DPL,31-08-26,,,48.29,Fill,C-A,BH-10-1,M 90,LAYER-5,5,,2177,APPROVED AS NOTED,DONE,2,EIDG,1,,,
366,Tuesday,01-09-26,64679,36, Karim Salam ,DPL,31-08-26,,,45.24,Fill,C-A,BH-14-2,M 89-186-187,LAYER-4,7,,3134,APPROVED AS NOTED,DONE,2,EIDG,1,,,
367,Tuesday,01-09-26,64678,36, Karim Salam ,DPL,31-08-26,,,44.838,Fill,C-A,BH-14-2,M 183,LAYER-1,5,,2641,APPROVED AS NOTED,DONE,2,EIDG,1,,,
368,Tuesday,01-09-26,64719,36, Mohamed Oraby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-14-4,M 138-144,47.6,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,,,
369,Tuesday,01-09-26,64701,36, Mohamed Oraby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-14-4,M 138-144,47.6,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,,,
370,Tuesday,01-09-26,64668,36, Al Alamiya ,DPL,31-08-26,,,48.33,Fill,C-A,BH-14-5,M 150,LAYER-2,4,,1791,APPROVED AS NOTED,DONE,2,EIDG,1,,,
371,Wednesday,02-09-26,64798,36, Al Alamiya ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-14-5,M 143,48.1,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
372,Wednesday,02-09-26,64797,36, Al Alamiya ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-14-5,M 143,48.1,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
373,Tuesday,01-09-26,64658,36, Al Alamiya ,DPL,31-08-26,,,48.25,Fill,C-A,BH-14-5,M 143,LAYER-6,6,,2688,APPROVED AS NOTED,DONE,2,EIDG,1,,,
374,Wednesday,02-09-26,64768,36, Al Amal ,DPL,01-09-26,,,52,Fill,C-A,BH-11-1,M 93,LAYER-1,2,,875,APPROVED AS NOTED,DONE,2,EIDG,1,,,
375,Wednesday,02-09-26,64787,36, Al Amal ,DPL,01-09-26,,,45.95,Fill,C-A,BH-11-1,M 105,LAYER-1,4,,1934,APPROVED AS NOTED,DONE,2,EIDG,1,,,
376,Tuesday,01-09-26,64725,36, EL Nessr El Araby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-13-4,M 134,44.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
377,Tuesday,01-09-26,64726,36, EL Nessr El Araby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-13-4,M 134,44.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
378,Wednesday,02-09-26,64805,36, EL Nessr El Araby ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-13-4,M 191-194-195,44.75,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
379,Wednesday,02-09-26,64806,36, EL Nessr El Araby ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-13-4,M 191-194-195,44.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
380,Wednesday,02-09-26,64802,36, EL Nessr El Araby ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-13-4,M 191-194-195,44.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
381,Tuesday,01-09-26,64802,36, EL Nessr El Araby ,DPL,30-08-26,,,50.11,Fill,C-A,BH-13-4,M 194-195,LAYER-11,8,,4072,APPROVED AS NOTED,DONE,2,EIDG,2,,,
382,Wednesday,02-09-26,64743,36, Saad Sheita ,DPL,01-09-26,,,52.04,Fill,C-A,BH-9-1,M 70,LAYER-6,2,,98,APPROVED AS NOTED,DONE,2,EIDG,1,,,
383,Wednesday,02-09-26,64745,36, Saad Sheita ,DPL,01-09-26,,,47.12,Fill,C-A,BH-8-3,M 70,LAYER-6,2,,41,APPROVED AS NOTED,DONE,2,EIDG,1,,,
384,Tuesday,01-09-26,64660,36, Saad Sheita ,DPL,31-08-26,,,49.42,Fill,C-A,BH-9-1,M 70,LAYER-5,2,,98,APPROVED AS NOTED,DONE,2,EIDG,1,,,
385,Tuesday,01-09-26,64661,36, Saad Sheita ,DPL,31-08-26,,,43.7,Fill,C-A,BH-8-3,M 70,LAYER-5,2,,41,APPROVED AS NOTED,DONE,2,EIDG,1,,,
386,Tuesday,01-09-26,64612,36, EL Gharably ,DPL,30-08-26,,,49.62,Fill,C-A,BH-12-1,M 102,LAYER-2,2,,885,APPROVED AS NOTED,DONE,2,EIDG,2,,,
387,Wednesday,02-09-26,64764,36, EL Gharably ,DPL,01-09-26,,,44.78,Fill,C-A,BH-12-1,M 101,LAYER-1,2,,1024,APPROVED AS NOTED,DONE,2,EIDG,1,,,
388,Wednesday,02-09-26,64763,36, EL Gharably ,DPL,01-09-26,,,47.71,Fill,C-A,BH-12-1,M 197,LAYER-3,4,,1772,APPROVED AS NOTED,DONE,2,EIDG,1,,,
389,Tuesday,01-09-26,64611,36, EL Gharably ,DPL,30-08-26,,,47.7,Fill,C-A,BH-12-1,M 197,LAYER-2,4,,1730,APPROVED AS NOTED,DONE,2,EIDG,2,,,
390,Wednesday,02-09-26,64778,36, EL Gharably ,DPL,01-09-26,,,45.14,Fill,C-A,BH-12-1,M 111,LAYER-4,2,,754,APPROVED AS NOTED,DONE,2,EIDG,1,,,
391,Tuesday,01-09-26,64691,36, EL Gharably ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-12-1,M 113-114,36,1,,,REVISE,DONE,6,CEDC,0,,,
392,Tuesday,01-09-26,64692,36, EL Gharably ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-12-1,M 113-114,36,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
393,Tuesday,01-09-26,64709,36, EL Gharably ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-12-1,M 113-114,36,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
394,Wednesday,02-09-26,64765,36, EL Gharably ,DPL,01-09-26,,,50.52,Fill,C-A,BH-12-1,M 106,LAYER-4,3,,1532,APPROVED AS NOTED,DONE,2,EIDG,1,,,
395,Tuesday,01-09-26,64634,36, EL Gharably ,DPL,30-08-26,,,50.82,Fill,C-A,BH-12-1,M 106,LAYER-3,5,,2330,APPROVED AS NOTED,DONE,2,EIDG,2,,,
396,Wednesday,02-09-26,64780,36, EL Gharably ,DPL,01-09-26,,,49.27,Fill,C-A,BH-12-1,M 107,LAYER-1,4,,1887,APPROVED AS NOTED,DONE,2,EIDG,1,,,
397,Wednesday,02-09-26,64789,36, EL Gharably ,DPL,01-09-26,,,50.64,Fill,C-A,BH-12-1,M 108,LAYER-2,3,,1368,APPROVED AS NOTED,DONE,2,EIDG,1,,,
398,Tuesday,01-09-26,64637,36, EL Gharably ,DPL,30-08-26,,,49.29,Fill,C-A,BH-12-1,M 108,LAYER-1,2,,1024,APPROVED AS NOTED,DONE,2,EIDG,2,,,
399,Tuesday,01-09-26,64629,36, Orascom ,DPL,30-08-26,,,53.29,Fill,C-A,BH-1,M 37,LAYER-9,2,,1075,APPROVED AS NOTED,DONE,2,EIDG,2,,,
400,Tuesday,01-09-26,64604,36, Orascom ,DPL,30-08-26,,,43.47,Fill,C-A,BH-1,M 61,LAYER-6,2,,1004,APPROVED AS NOTED,DONE,2,EIDG,2,,,
401,Tuesday,01-09-26,64654,36, Orascom ,DPL,31-08-26,,,48.73,Fill,C-A,BH-1,M 37,LAYER-10,2,,1051,APPROVED AS NOTED,DONE,2,EIDG,1,,,
402,Wednesday,02-09-26,64721,36, Orascom ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-1,M 37,30,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,,,
403,Tuesday,01-09-26,64730,36, Orascom ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-1,M 37,30,1,,,APPROVED AS NOTED,DONE,5,CEL,0,,,
404,Wednesday,02-09-26,64769,36, Orascom ,DPL,01-09-26,,,51.25,Fill,C-A,BH-1,M 52,LAYER-11,3,,1066,APPROVED AS NOTED,DONE,2,EIDG,1,,,
405,Tuesday,01-09-26,64650,36, Orascom ,DPL,31-08-26,,,44.4,Fill,C-A,BH-1,M 41,LAYER-11,3,,1066,APPROVED AS NOTED,DONE,2,EIDG,1,,,
406,Tuesday,01-09-26,64648,36, Orascom ,DPL,31-08-26,,,49.28,Fill,C-A,BH-1,M 45,LAYER-11,2,,1051,APPROVED AS NOTED,DONE,2,EIDG,1,,,
407,Tuesday,01-09-26,64651,36, Orascom ,DPL,31-08-26,,,50.97,Fill,C-A,BH-1,M 33,LAYER-10,2,,151,APPROVED AS NOTED,DONE,2,EIDG,1,,,
408,Tuesday,01-09-26,64643,36, Orascom ,DPL,30-08-26,,,47.96,Fill,C-A,BH-1,M 33,LAYER-9,2,,165,APPROVED AS NOTED,DONE,2,EIDG,2,,,
409,Tuesday,01-09-26,64731,36, Orascom ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-1,M 33,30,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,0,,,
410,Wednesday,02-09-26,64803,36, Orascom ,PLATE LOAD,01-09-26,,,,Fill,C-A,BH-1,M 64,29.35,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
411,Wednesday,02-09-26,64786,36, Orascom ,DPL,01-09-26,,,46.96,Fill,C-A,BH-1,M 49,LAYER-12,3,,1077,APPROVED AS NOTED,DONE,2,EIDG,1,,,
412,Wednesday,02-09-26,64757,36, Cleopatra ,DPL,01-09-26,,,50.81,Fill,C-A,BH-12-3,M 130-131,LAYER-2,2,,973,APPROVED AS NOTED,DONE,2,EIDG,1,,,
413,Tuesday,01-09-26,64665,36, Cleopatra ,DPL,31-08-26,,,48.57,Fill,C-A,BH-12-3,M 196,LAYER-1,4,,2013,APPROVED AS NOTED,DONE,2,EIDG,1,,,
414,Wednesday,02-09-26,64761,36, Cleopatra ,DPL,01-09-26,,,46.57,Fill,C-A,BH-12-3,M 197-198,LAYER-9,2,,1093,APPROVED AS NOTED,DONE,2,EIDG,1,,,
415,Tuesday,01-09-26,64608,36, Cleopatra ,DPL,30-08-26,,,42.79,Fill,C-A,BH-12-3,M 197-198,LAYER-8,3,,1247,APPROVED AS NOTED,DONE,2,EIDG,2,,,
416,Wednesday,02-09-26,64793,36, Cleopatra ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-12-3,M 106-111-195,41.85,1,,1421,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,,,
417,Tuesday,01-09-26,64667,36, Cleopatra ,DPL,31-08-26,,,43,Fill,C-A,BH-12-3,M 106-111-195,LAYER-5,3,,1421,APPROVED AS NOTED,DONE,2,EIDG,1,,,
418,Tuesday,01-09-26,64607,36, Cleopatra ,DPL,30-08-26,,,50.48,Fill,C-A,BH-12-3,M 106-111-195,LAYER-4,3,,1423,APPROVED AS NOTED,DONE,2,EIDG,2,,,
419,Tuesday,01-09-26,64724,36, Cleopatra ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-12-3,M 106-111-195,41.85,1,,1421,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,,,
420,Tuesday,01-09-26,64676,36, EL-Hoda ,DPL,31-08-26,,,53.64,Fill,C-A,BH-13-3,M 186,LAYER-2,2,,252,APPROVED AS NOTED,DONE,2,EIDG,1,,,
421,Tuesday,01-09-26,64671,36, EL-Hoda ,DPL,31-08-26,,,50.89,Fill,C-A,BH-13-3,M 186,LAYER-1,2,,252,APPROVED AS NOTED,DONE,2,EIDG,1,,,
422,Tuesday,01-09-26,64677,36, EL-Hoda ,DPL,31-08-26,,,46.59,Fill,C-A,BH-13-3,M 187,LAYER-2,2,,164,APPROVED AS NOTED,DONE,2,EIDG,1,,,
423,Tuesday,01-09-26,64669,36, EL-Hoda ,DPL,31-08-26,,,43.3,Fill,C-A,BH-13-3,M 187,LAYER-1,2,,161,APPROVED AS NOTED,DONE,2,EIDG,1,,,
424,Tuesday,01-09-26,64680,36, EL-Hoda ,DPL,31-08-26,,,45.72,Fill,C-A,BH-13-3,M 115-190-193,LAYER-9,7,,3135,APPROVED AS NOTED,DONE,2,EIDG,1,,,
425,Tuesday,01-09-26,64633,36, EL-Hoda ,DPL,30-08-26,,,47,Fill,C-A,BH-13-3,M 115-190-193,LAYER-8,7,,3207,APPROVED AS NOTED,DONE,2,EIDG,2,,,
426,Tuesday,01-09-26,64638,36, EL-Hoda ,DPL,30-08-26,,,50.81,Fill,C-A,BH-13-3,M 189,LAYER-1,4,,2024,APPROVED AS NOTED,DONE,2,EIDG,2,,,
427,Wednesday,02-09-26,64749,36, EL-Hoda ,DPL,01-09-26,,,47.39,Fill,C-A,BH-13-3,M 191-192-195,LAYER-8,8,,3813,APPROVED AS NOTED,DONE,2,EIDG,1,,,
428,Tuesday,01-09-26,64666,36, EL-Hoda ,DPL,31-08-26,,,47.88,Fill,C-A,BH-13-3,M 191-192-195,LAYER-7,7,,3687,APPROVED AS NOTED,DONE,2,EIDG,1,,,
429,Tuesday,01-09-26,64636,36, EL-Hoda ,DPL,30-08-26,,,47.45,Fill,C-A,BH-13-3,M 191-192-195,LAYER-6,8,,3693,APPROVED AS NOTED,DONE,2,EIDG,2,,,
430,Wednesday,02-09-26,64756,36, Inshaa ,DPL,01-09-26,,,48.8,Fill,C-A,BH-9-3,M 78,LAYER-1,2,,1071,APPROVED AS NOTED,DONE,2,EIDG,1,,,
431,Wednesday,02-09-26,64754,36, Inshaa ,DPL,01-09-26,,,48,Fill,C-A,BH-9-3,M 83,LAYER-2,2,,487,APPROVED AS NOTED,DONE,2,EIDG,1,,,
432,Wednesday,02-09-26,64771,36, Inshaa ,DPL,01-09-26,,,48.61,Fill,C-A,BH-9-3,M 83,LAYER-2,4,,2016,APPROVED AS NOTED,DONE,2,EIDG,1,,,
433,Wednesday,02-09-26,64773,36, Inshaa ,DPL,01-09-26,,,47.65,Fill,C-A,BH-10-2,M 84-88-89,LAYER-4,5,,2330,APPROVED AS NOTED,DONE,2,EIDG,1,,,
434,Tuesday,01-09-26,64647,36, Inshaa ,DPL,31-08-26,,,49,Fill,C-A,BH-10-2,M 84-89,LAYER-3,2,,769,APPROVED AS NOTED,DONE,2,EIDG,1,,,
435,Wednesday,02-09-26,64753,36, Inshaa ,DPL,01-09-26,,,52.8,Fill,C-A,BH-9-3,M 84-79,LAYER-3,2,,863,APPROVED AS NOTED,DONE,2,EIDG,1,,,
436,Tuesday,01-09-26,64605,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,49,Fill,C-A,BH-8-3,M 72-76,LAYER-5,8,,4077,APPROVED AS NOTED,DONE,2,EIDG,2,,,
437,Tuesday,01-09-26,64715,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-8-3,M 72-76,33,1,,,REVISE,DONE,6,CEDC,2,,,
438,Tuesday,01-09-26,64714,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-8-3,M 72-76,33,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,,,
439,Tuesday,01-09-26,64699,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-8-3,M 72-76,33,1,,,REVISE,DONE,6,CEDC,2,,,
440,Wednesday,02-09-26,64755,36, Mokhtar EL-Shenawy ,DPL,01-09-26,,,49.19,Fill,C-A,BH-8-3,M 68-71-75,LAYER-4,8,,3635,APPROVED AS NOTED,DONE,2,EIDG,1,,,
441,Tuesday,01-09-26,64663,36, Mokhtar EL-Shenawy ,DPL,31-08-26,,,47,Fill,C-A,BH-8-3,M 68-71-75,LAYER-3,8,,3688,APPROVED AS NOTED,DONE,2,EIDG,1,,,
442,Tuesday,01-09-26,64628,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,46.599,Fill,C-A,BH-8-3,M 71-83,LAYER-1,5,,2571,APPROVED AS NOTED,DONE,2,EIDG,2,,,
443,Tuesday,01-09-26,64601,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,49.388,Fill,C-A,BH-8-3,M 70,LAYER-1,4,,1924,APPROVED AS NOTED,DONE,2,EIDG,2,,,
444,Tuesday,01-09-26,64644,36, Mokhtar EL-Shenawy ,DPL,31-08-26,,,48.944,Fill,C-A,BH-8-3,M 67-70,LAYER-6,7,,3591,APPROVED AS NOTED,DONE,2,EIDG,1,,,
445,Tuesday,01-09-26,64711,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-9-1,M 76-80-85,33,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,,,
446,Tuesday,01-09-26,64716,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-9-1,M 76-80-85,33,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,,,
447,Tuesday,01-09-26,64700,36, Mokhtar EL-Shenawy ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-9-1,M 76-80-85,33,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,,,
448,Tuesday,01-09-26,64606,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,50.49,Fill,C-A,BH-9-1,M 76-80-85,LAYER-5,9,,4283,APPROVED AS NOTED,DONE,2,EIDG,2,,,
449,Tuesday,01-09-26,64632,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,48.69,Fill,C-A,BH-9-1,M 75-79-84,LAYER-5,9,,4159,APPROVED AS NOTED,DONE,2,EIDG,2,,,
450,Wednesday,02-09-26,64792,36, Mokhtar EL-Shenawy ,DPL,01-09-26,,,45.14,Fill,C-A,BH-9-1,M 75-79-84,LAYER-6,9,,4133,APPROVED AS NOTED,DONE,2,EIDG,1,,,
451,Tuesday,01-09-26,64590,36, Mokhtar EL-Shenawy ,DPL,30-08-26,,,49.14,Fill,C-A,BH-9-1,M 70,LAYER-3,2,,660,APPROVED AS NOTED,DONE,2,EIDG,2,,,
452,Tuesday,01-09-26,64645,36, Mokhtar EL-Shenawy ,DPL,31-08-26,,,47.11,Fill,C-A,BH-9-1,M 70,LAYER-4,2,,668,APPROVED AS NOTED,DONE,2,EIDG,1,,,
453,Wednesday,02-09-26,64784,36, Mohamed Oraby ,DPL,01-09-26,,,51.41,Fill,C-A,BH-14-4,M 146,LAYER-6,4,,1891,APPROVED AS NOTED,DONE,2,EIDG,1,,,
454,Tuesday,01-09-26,64694,36, Mohamed Oraby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-14-4,M 146,45.4,1,,1872,APPROVED AS NOTED,DONE,5,CEL,1,,,
455,Tuesday,01-09-26,64613,36, Mohamed Oraby ,DPL,30-08-26,,,46.6,Fill,C-A,BH-14-4,M 146,LAYER-5,4,,1871,APPROVED AS NOTED,DONE,2,EIDG,2,,,
456,Tuesday,01-09-26,64707,36, Mohamed Oraby ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-14-4,M 146,45.4,1,,1872,APPROVED AS NOTED,DONE,3,BONYAN MISR,1,,,
457,Wednesday,02-09-26,64777,36, Mohamed Oraby ,DPL,01-09-26,,,44.75,Fill,C-A,BH-14-4,M 152,LAYER-1,2,,727,APPROVED AS NOTED,DONE,2,EIDG,1,,,
458,Wednesday,02-09-26,64775,36, Mohamed Oraby ,DPL,01-09-26,,,45.18,Fill,C-A,BH-14-4,M 138-144,LAYER-9,3,,1121,APPROVED AS NOTED,DONE,2,EIDG,1,,,
459,Tuesday,01-09-26,64656,36, Mohamed Oraby ,DPL,31-08-26,,,43.27,Fill,C-A,BH-14-4,M 138-144,LAYER-8,2,,1060,APPROVED AS NOTED,DONE,2,EIDG,1,,,
460,Tuesday,01-09-26,64603,36, Mohamed Oraby ,DPL,30-08-26,,,48.57,Fill,C-A,BH-14-4,M 138-144,LAYER-7,2,,1031,APPROVED AS NOTED,DONE,2,EIDG,2,,,
461,Tuesday,01-09-26,64664,36, Mecca ,DPL,31-08-26,,,47.24,Fill,C-A,BH-11-3,M 91-96-199,LAYER-7,8,,3253,APPROVED AS NOTED,DONE,2,EIDG,1,,,
462,Wednesday,02-09-26,64781,36, Mecca ,DPL,01-09-26,,,47.53,Fill,C-A,BH-11-3,M 102,LAYER-7,2,,573,APPROVED AS NOTED,DONE,2,EIDG,1,,,
463,Wednesday,02-09-26,64779,36, Mecca ,DPL,01-09-26,,,47.35,Fill,C-A,BH-11-3,M 96-97-98-103,LAYER-8,6,,2818,APPROVED AS NOTED,DONE,2,EIDG,1,,,
464,Tuesday,01-09-26,64609,36, Mecca ,DPL,30-08-26,,,50.61,Fill,C-A,BH-11-3,M 96-97-98-103,LAYER-7,7,,3425,APPROVED AS NOTED,DONE,2,EIDG,2,,,
465,Wednesday,02-09-26,64788,36, Al Tawakkol ,DPL,01-09-26,,,46.51,Fill,C-A,BH-15-2,M 166,LAYER-1,6,,2870,APPROVED AS NOTED,DONE,2,EIDG,1,,,
466,Tuesday,01-09-26,64641,36, Al Thanaa ,DPL,30-08-26,,,49.35,Fill,C-A,BH-11-2,M 105,LAYER-6,2,,725,APPROVED AS NOTED,DONE,2,EIDG,2,,,
467,Tuesday,01-09-26,64695,36, Al Thanaa ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-11-2,M 105,33.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
468,Tuesday,01-09-26,64696,36, Al Thanaa ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-11-2,M 105,33.75,1,,,REVISE,DONE,6,CEDC,1,,,
469,Wednesday,02-09-26,64791,36, Al Thanaa ,DPL,01-09-26,,,46.988,Fill,C-A,BH-11-2,M 109,LAYER-3,2,,895,APPROVED AS NOTED,DONE,2,EIDG,1,,,
470,Tuesday,01-09-26,64639,36, Al Thanaa ,DPL,30-08-26,,,49.7,Fill,C-A,BH-11-2,M 110,LAYER-4,5,,2537,APPROVED AS NOTED,DONE,2,EIDG,2,,,
471,Tuesday,01-09-26,64697,36, Al Thanaa ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-11-2,M 110,33.75,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
472,Wednesday,02-09-26,64790,36, Al Thanaa ,DPL,01-09-26,,,48.46,Fill,C-A,BH-11-2,M 104,LAYER-4,3,,1623,APPROVED AS NOTED,DONE,2,EIDG,1,,,
473,Tuesday,01-09-26,64640,36, Al Thanaa ,DPL,30-08-26,,,48.53,Fill,C-A,BH-11-2,M 104,LAYER-3,3,,1579,APPROVED AS NOTED,DONE,2,EIDG,2,,,
474,Wednesday,02-09-26,64774,36, Kamal Al Salmy ,DPL,01-09-26,,,50.71,Fill,C-A,BH-12-2,M 115,LAYER-1,4,,1646,APPROVED AS NOTED,DONE,2,EIDG,1,,,
475,Wednesday,02-09-26,64776,36, Kamal Al Salmy ,DPL,01-09-26,,,46.81,Fill,C-A,BH-12-2,M 116,LAYER-1,4,,1679,APPROVED AS NOTED,DONE,2,EIDG,1,,,
476,Tuesday,01-09-26,64776,36, Abnaa Khalifa ,PLATE LOAD,30-08-26,,,,Fill,C-A,BH-13-5,M 135-138-139,46.1,1,,5471,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,,,
477,Tuesday,01-09-26,64727,36, Abnaa Khalifa ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-13-5,M 138,46.1,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
478,Tuesday,01-09-26,64728,36, Abnaa Khalifa ,PLATE LOAD,31-08-26,,,,Fill,C-A,BH-13-5,M 135-138-139,46.1,1,,,APPROVED AS NOTED,DONE,6,CEDC,1,,,
